Expiration,Days,Strike,Call Bid,Call Ask,Put Bid,Put Ask
21-Oct-22,24,1510,451.4,454.9,0.05,0.55
21-Oct-22,24,1515,446.4,449.9,0.05,0.55
21-Oct-22,24,1520,441.4,445,0.1,0.6
21-Oct-22,24,1525,436.4,440,0.3,0.4
21-Oct-22,24,1530,431.4,435,0.05,0.6
21-Oct-22,24,1535,426.4,430,0.1,0.65
21-Oct-22,24,1540,421.4,425,0.1,0.65
21-Oct-22,24,1545,416.5,420,0.1,0.65
21-Oct-22,24,1550,411.5,415,0.3,0.7
21-Oct-22,24,1555,406.5,410.1,0.15,0.7
21-Oct-22,24,1560,401.5,405.1,0.15,0.7
21-Oct-22,24,1565,396.5,400.1,0.15,0.7
21-Oct-22,24,1570,391.5,395.1,0.2,0.75
21-Oct-22,24,1575,386.5,390.1,0.35,0.75
21-Oct-22,24,1580,381.5,385.1,0.25,0.8
21-Oct-22,24,1585,376.6,380.2,0.25,0.8
21-Oct-22,24,1590,371.6,375.2,0.25,0.8
21-Oct-22,24,1595,366.6,370.2,0.25,0.8
21-Oct-22,24,1600,361.6,365.2,0.5,0.85
21-Oct-22,24,1605,356.6,360.3,0.3,0.85
21-Oct-22,24,1610,351.6,355.3,0.35,0.9
21-Oct-22,24,1615,346.7,350.3,0.35,0.9
21-Oct-22,24,1620,341.7,345.3,0.35,0.9
21-Oct-22,24,1625,336.7,340.4,0.4,0.95
21-Oct-22,24,1630,331.7,335.4,0.4,0.95
21-Oct-22,24,1635,326.7,330.4,0.45,1
21-Oct-22,24,1640,321.8,325.4,0.45,1
21-Oct-22,24,1645,316.8,320.5,0.5,1.05
21-Oct-22,24,1650,311.8,315.5,0.5,0.85
21-Oct-22,24,1655,306.8,310.5,0.55,1.1
21-Oct-22,24,1660,301.9,305.6,0.55,1.1
21-Oct-22,24,1665,296.9,300.6,0.6,1.15
21-Oct-22,24,1670,291.9,295.7,0.6,1.15
21-Oct-22,24,1675,287,290.7,0.65,1.2
21-Oct-22,24,1680,282,285.7,0.7,1.25
21-Oct-22,24,1685,277,280.8,0.75,1.3
21-Oct-22,24,1690,272.1,275.8,0.75,1.3
21-Oct-22,24,1695,267.1,270.9,0.8,1.35
21-Oct-22,24,1700,262.1,265.9,0.85,1.4
21-Oct-22,24,1705,257.2,261,0.85,1.4
21-Oct-22,24,1710,252.2,256,0.9,1.45
21-Oct-22,24,1715,247.3,251.1,0.95,1.5
21-Oct-22,24,1720,242.3,246.1,1,1.55
21-Oct-22,24,1725,237.4,241.2,1.05,1.6
21-Oct-22,24,1730,232.4,236.3,1.1,1.65
21-Oct-22,24,1735,227.5,231.3,1.15,1.7
21-Oct-22,24,1740,222.5,226.4,1.2,1.75
21-Oct-22,24,1745,217.6,221.5,1.25,1.85
21-Oct-22,24,1750,212.6,216.6,1.3,1.9
21-Oct-22,24,1755,207.7,211.6,1.4,1.95
21-Oct-22,24,1760,202.8,206.7,1.45,2.05
21-Oct-22,24,1765,197.8,201.8,1.5,2.15
21-Oct-22,24,1770,192.9,196.9,1.6,2.2
21-Oct-22,24,1775,188,192,1.65,2.35
21-Oct-22,24,1780,183.1,187.1,1.75,2.4
21-Oct-22,24,1785,178.2,182.2,1.85,2.5
21-Oct-22,24,1790,173.3,177.3,1.9,2.6
21-Oct-22,24,1795,168.4,172.4,2,2.75
21-Oct-22,24,1800,163.5,167.5,2.15,2.9
21-Oct-22,24,1805,158.6,162.6,2.25,3
21-Oct-22,24,1810,153.8,157.8,2.35,3.2
21-Oct-22,24,1815,148.9,152.9,2.5,3.4
21-Oct-22,24,1820,144.1,148.1,2.65,3.5
21-Oct-22,24,1825,139.2,143.3,3,3.6
21-Oct-22,24,1830,134.4,138.4,3,3.9
21-Oct-22,24,1835,129.6,133.6,3.2,4.1
21-Oct-22,24,1840,124.8,128.8,3.4,4.4
21-Oct-22,24,1845,120.1,124.1,3.6,4.6
21-Oct-22,24,1850,115.4,119.3,3.8,4.9
21-Oct-22,24,1855,110.6,114.6,4.1,5.2
21-Oct-22,24,1860,105.9,109.9,4.4,5.5
21-Oct-22,24,1865,101.3,105.2,4.7,5.8
21-Oct-22,24,1870,96.6,100.5,5,6.2
21-Oct-22,24,1875,92,95.9,5.4,6.6
21-Oct-22,24,1880,87.4,91.3,5.8,7
21-Oct-22,24,1885,82.9,86.7,6.2,7.5
21-Oct-22,24,1890,78.4,82.2,6.7,8
21-Oct-22,24,1895,74,77.7,7.2,8.6
21-Oct-22,24,1900,69.6,73.2,7.8,8.8
21-Oct-22,24,1905,66,68.5,8.5,9.5
21-Oct-22,24,1910,61.6,64.1,9.1,10.2
21-Oct-22,24,1915,57.4,59.8,9.9,11.3
21-Oct-22,24,1920,53.3,55.6,10.7,12.1
21-Oct-22,24,1925,49.1,51.2,11.6,12.6
21-Oct-22,24,1930,45.2,47.3,12.5,14
21-Oct-22,24,1935,41.2,43.4,13.6,14.7
21-Oct-22,24,1940,37.4,39.5,14.7,15.8
21-Oct-22,24,1945,33.7,35.7,15.9,17.2
21-Oct-22,24,1950,30.1,32.1,17.7,18.8
21-Oct-22,24,1955,26.7,28.5,19,20.5
21-Oct-22,24,1960,23.4,25.1,20.6,22
21-Oct-22,24,1965,20.3,21.8,22.3,24
21-Oct-22,24,1970,17.4,18.8,24.3,25.8
21-Oct-22,24,1975,14.6,15.9,26.5,28.1
21-Oct-22,24,1980,12.2,13.3,28.9,30.6
21-Oct-22,24,1985,9.9,11,31.4,33.2
21-Oct-22,24,1990,7.9,9,34.3,36.5
21-Oct-22,24,1995,6.2,7.1,37.4,39.7
21-Oct-22,24,2000,4.7,5.2,40.7,43.2
21-Oct-22,24,2005,3.4,4.2,44,47.7
21-Oct-22,24,2010,2.65,3.1,48,51.4
21-Oct-22,24,2015,1.75,2.3,52.2,56
21-Oct-22,24,2020,1.2,1.7,56.6,60.4
21-Oct-22,24,2025,1,1.25,61.2,65
21-Oct-22,24,2030,0.45,1,65.9,69.7
21-Oct-22,24,2035,0.25,0.8,70.7,74.4
21-Oct-22,24,2040,0.35,0.65,75.6,79.3
21-Oct-22,24,2045,0.2,0.6,80.5,84.1
21-Oct-22,24,2050,0.2,0.3,85.4,89
21-Oct-22,24,2055,0.15,0.5,90.4,94
21-Oct-22,24,2060,0.15,0.3,95.3,98.9
21-Oct-22,24,2065,0.15,0.2,100.3,103.9
21-Oct-22,24,2070,0.1,0.2,105.3,108.9
21-Oct-22,24,2075,0.1,0.2,110.3,113.8
21-Oct-22,24,2080,0.05,0.45,115.3,118.8
21-Oct-22,24,2085,0.05,0.4,120.3,123.8
21-Oct-22,24,2090,0.05,0.15,125.3,128.8
21-Oct-22,24,2095,0.05,0.35,130.3,133.8
21-Oct-22,24,2100,0.05,0.15,135.3,138.8
21-Oct-22,24,2120,0,0.15,155.3,158.8
21-Oct-22,24,2125,0.05,0.15,160.3,163.8
21-Oct-22,24,2150,0,0.1,185.2,188.8
21-Oct-22,24,2175,0,0.05,210.2,213.7
21-Oct-22,24,2200,0,0.05,235.2,238.7
21-Oct-22,24,2225,0.05,0.1,260.2,263.7
21-Oct-22,24,2250,0,0.05,285.2,288.7
28-Oct-22,31,1225,735.9,738.8,0,0.1
28-Oct-22,31,1250,710.8,713.8,0,0.1
28-Oct-22,31,1275,686,688.7,0.05,0.1
28-Oct-22,31,1300,660.9,663.8,0,0.1
28-Oct-22,31,1325,635.9,638.6,0.1,0.2
28-Oct-22,31,1350,610.9,613.6,0.1,0.2
28-Oct-22,31,1375,585.9,588.7,0.1,0.25
28-Oct-22,31,1400,561,563.7,0.15,0.25
28-Oct-22,31,1425,536,538.8,0.2,0.3
28-Oct-22,31,1450,511.1,513.8,0.25,0.35
28-Oct-22,31,1475,486.1,488.9,0.3,0.4
28-Oct-22,31,1500,461.2,464,0.35,0.45
28-Oct-22,31,1510,451.3,454,0.35,0.5
28-Oct-22,31,1520,441.3,444,0.4,0.5
28-Oct-22,31,1525,436.3,439.1,0.4,0.55
28-Oct-22,31,1530,431.3,434.1,0.45,0.55
28-Oct-22,31,1540,421.4,424.1,0.45,0.6
28-Oct-22,31,1550,411.4,414.2,0.5,0.6
28-Oct-22,31,1555,406.4,409.2,0.5,0.65
28-Oct-22,31,1560,401.4,404.2,0.55,0.65
28-Oct-22,31,1565,396.5,399.2,0.55,0.7
28-Oct-22,31,1570,391.2,394,0.6,0.7
28-Oct-22,31,1575,386.5,389.3,0.6,0.75
28-Oct-22,31,1580,381.5,384.3,0.6,0.75
28-Oct-22,31,1585,376.6,379.3,0.65,0.75
28-Oct-22,31,1590,371.3,374.1,0.65,0.8
28-Oct-22,31,1595,366.6,369.4,0.7,0.8
28-Oct-22,31,1600,361.6,364.4,0.7,0.85
28-Oct-22,31,1605,356.7,359.4,0.75,0.85
28-Oct-22,31,1610,351.7,354.5,0.75,0.9
28-Oct-22,31,1615,346.7,349.5,0.8,0.9
28-Oct-22,31,1620,341.8,344.5,0.8,0.95
28-Oct-22,31,1625,336.8,339.5,0.85,0.95
28-Oct-22,31,1630,331.8,334.6,0.9,1
28-Oct-22,31,1635,326.9,329.6,0.9,1.05
28-Oct-22,31,1640,321.9,324.7,0.95,1.05
28-Oct-22,31,1645,316.9,319.7,0.95,1.1
28-Oct-22,31,1650,312,314.7,1,1.15
28-Oct-22,31,1655,307,309.8,1.05,1.15
28-Oct-22,31,1660,302.1,304.8,1.1,1.2
28-Oct-22,31,1665,297.1,299.9,1.15,1.25
28-Oct-22,31,1670,292.2,294.9,1.15,1.3
28-Oct-22,31,1675,287.2,289.9,1.2,1.35
28-Oct-22,31,1680,282.3,285,1.25,1.4
28-Oct-22,31,1685,277.3,280.1,1.3,1.45
28-Oct-22,31,1690,272.4,275.1,1.35,1.5
28-Oct-22,31,1695,267.4,270.2,1.4,1.55
28-Oct-22,31,1700,262.5,265.2,1.45,1.6
28-Oct-22,31,1705,257.5,260.3,1.5,1.7
28-Oct-22,31,1710,252.6,255.3,1.6,1.75
28-Oct-22,31,1715,247.7,250.4,1.65,1.8
28-Oct-22,31,1720,242.7,245.5,1.7,1.9
28-Oct-22,31,1725,237.8,240.6,1.75,1.95
28-Oct-22,31,1730,232.9,235.6,1.85,2
28-Oct-22,31,1735,228,230.7,1.9,2.1
28-Oct-22,31,1740,223.4,225.3,2,2.2
28-Oct-22,31,1745,218.5,220.4,2.1,2.25
28-Oct-22,31,1750,213.6,215.5,2.2,2.35
28-Oct-22,31,1755,208.7,210.6,2.3,2.45
28-Oct-22,31,1760,203.8,205.7,2.4,2.55
28-Oct-22,31,1765,198.9,200.8,2.5,2.65
28-Oct-22,31,1770,194,195.9,2.65,2.8
28-Oct-22,31,1775,189.2,191.1,2.75,2.9
28-Oct-22,31,1780,184.3,185.8,2.9,3.1
28-Oct-22,31,1785,179.4,180.9,3,3.2
28-Oct-22,31,1790,174.6,176.1,3.1,3.4
28-Oct-22,31,1795,169.7,171.2,3.3,3.6
28-Oct-22,31,1800,164.9,166.4,3.5,3.7
28-Oct-22,31,1805,160.1,161.6,3.7,3.9
28-Oct-22,31,1810,155.3,156.7,3.8,4.1
28-Oct-22,31,1815,150.5,152,4.1,4.3
28-Oct-22,31,1820,145.7,147.2,4.3,4.5
28-Oct-22,31,1825,140.9,142.4,4.5,4.8
28-Oct-22,31,1830,136.2,137.7,4.8,5
28-Oct-22,31,1835,131.5,132.9,5,5.3
28-Oct-22,31,1840,126.8,128.2,5.3,5.6
28-Oct-22,31,1845,122.1,123.5,5.6,5.9
28-Oct-22,31,1850,117.4,118.8,5.9,6.2
28-Oct-22,31,1855,112.8,114.2,6.3,6.6
28-Oct-22,31,1860,108.2,109.6,6.6,6.9
28-Oct-22,31,1865,103.6,105,7,7.3
28-Oct-22,31,1870,99,100.4,7.5,7.8
28-Oct-22,31,1875,94.5,95.9,8,8.3
28-Oct-22,31,1880,90,91.4,8.4,8.8
28-Oct-22,31,1885,85.5,86.9,9,9.4
28-Oct-22,31,1890,81.1,82.5,9.5,10
28-Oct-22,31,1895,76.8,78.1,10.2,10.6
28-Oct-22,31,1900,72.4,73.7,10.9,11.3
28-Oct-22,31,1905,68.2,69.4,11.6,12
28-Oct-22,31,1910,64,65.2,12.4,12.8
28-Oct-22,31,1915,59.8,61.1,13.2,13.7
28-Oct-22,31,1920,55.7,57,14.2,14.6
28-Oct-22,31,1925,51.7,53,15.2,15.6
28-Oct-22,31,1930,47.8,49.1,16.2,16.6
28-Oct-22,31,1935,44.6,45.1,17.4,17.8
28-Oct-22,31,1940,40.8,41.3,18.6,19
28-Oct-22,31,1945,37.2,37.7,20,20.4
28-Oct-22,31,1950,33.7,34.4,21.4,21.8
28-Oct-22,31,1955,30.3,30.9,23,23.4
28-Oct-22,31,1960,27,27.6,24.7,25.1
28-Oct-22,31,1965,23.8,24.5,26.5,27.3
28-Oct-22,31,1970,20.8,21.4,28.5,29.4
28-Oct-22,31,1975,18,18.6,30.5,31.6
28-Oct-22,31,1980,15.5,15.9,33,34
28-Oct-22,31,1985,13.1,13.5,35.5,36.6
28-Oct-22,31,1990,10.9,11.3,38.4,39.5
28-Oct-22,31,1995,9,9.3,41.3,42.5
28-Oct-22,31,2000,7.2,7.6,44.5,45.8
28-Oct-22,31,2005,5.7,6,48.1,49.3
28-Oct-22,31,2010,4.5,4.8,51.7,53
28-Oct-22,31,2015,3.4,3.7,55.8,57
28-Oct-22,31,2020,2.6,2.8,59.9,61.7
28-Oct-22,31,2025,1.95,2.15,64.1,66.1
28-Oct-22,31,2030,1.45,1.65,68.6,70.6
28-Oct-22,31,2035,1.05,1.25,73.3,75.2
28-Oct-22,31,2040,0.8,0.95,78,80
28-Oct-22,31,2045,0.6,0.75,82,84.8
28-Oct-22,31,2050,0.5,0.65,86.9,89.6
28-Oct-22,31,2060,0.3,0.4,96.6,99.4
28-Oct-22,31,2070,0.2,0.3,106.7,109.5
28-Oct-22,31,2075,0.15,0.25,111.7,114.5
28-Oct-22,31,2100,0.1,0.2,136.3,139.1
28-Oct-22,31,2125,0.05,0.15,161.5,164.3
28-Oct-22,31,2150,0.05,0.15,186.3,189
28-Oct-22,31,2175,0,0.1,211.3,214
28-Oct-22,31,2200,0.05,0.1,236.3,239
28-Oct-22,31,2225,0,0.1,261.3,264
28-Oct-22,31,2250,0,0.1,286.3,289
